country,ecoSeries,ecoAPI,localAPI,localSeries,localDataset,Title,SubTitle,API_base,API_full,source,source_long,description,units,date,field,multiplier
aus,infl,https://api.economicsobservatory.com/aus/infl,https://api.data.abs.gov.au/data/CPI/3.10001.10.50.Q?detail=dataonly&format=csv,3.10001.10.50.Q,CPI,Inflation,CPI all,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/CPI/3.10001.10.50.Q?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,?,https://api.economicsobservatory.com/aus/?,https://api.data.abs.gov.au/data/CPI/3.20001.10.50.Q?detail=dataonly&format=csv,3.20001.10.50.Q,CPI,Inflation - food,And non-alcoholic drink,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/CPI/3.20001.10.50.Q?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,?,https://api.economicsobservatory.com/aus/?,https://api.data.abs.gov.au/data/CPI/3.131197.10.50.Q?detail=dataonly&format=csv,3.131197.10.50.Q,CPI,Inflation - core,Ex food and energy,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/CPI/3.131197.10.50.Q?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,?,https://api.economicsobservatory.com/aus/?,https://api.data.abs.gov.au/data/CPI/3.40087.10.50.Q?detail=dataonly&format=csv,3.40087.10.50.Q,CPI,Inflation - beer,Effective Federal Reserve Rate,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/CPI/3.40087.10.50.Q?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,empl,https://api.economicsobservatory.com/aus/empl,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M9.AUS.TOTAL.A?detail=dataonly&format=csv,M9.AUS.TOTAL.A,ABS_LABOUR_ACCT,Employment,Total jobs all industries,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M9.AUS.TOTAL.A?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,inco,https://api.economicsobservatory.com/aus/inco,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M1.AUS.TOTAL.A?detail=dataonly&format=csv,M1.AUS.TOTAL.A,ABS_LABOUR_ACCT,Income,Average,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M1.AUS.TOTAL.A?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,hour,https://api.economicsobservatory.com/aus/hour,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M6.AUS.TOTAL.A?detail=dataonly&format=csv,M6.AUS.TOTAL.A,ABS_LABOUR_ACCT,Hours,Average per job,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M6.AUS.TOTAL.A?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,vaca,https://api.economicsobservatory.com/aus/vaca,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M10.AUS.TOTAL.A?detail=dataonly&format=csv,M10.AUS.TOTAL.A,ABS_LABOUR_ACCT,Vacancies,Number,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M10.AUS.TOTAL.A?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,unem,https://api.economicsobservatory.com/aus/unem,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M24.AUS.TOTAL.A?detail=dataonly&format=csv,M24.AUS.TOTAL.A,ABS_LABOUR_ACCT,Unemployed,LFS,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M24.AUS.TOTAL.A?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,unde,https://api.economicsobservatory.com/aus/unde,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M27.AUS.TOTAL.A?detail=dataonly&format=csv,M27.AUS.TOTAL.A,ABS_LABOUR_ACCT,Underemployed,LFS,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M27.AUS.TOTAL.A?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,inac,https://api.economicsobservatory.com/aus/inac,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M26.AUS.TOTAL.A?detail=dataonly&format=csv,M26.AUS.TOTAL.A,ABS_LABOUR_ACCT,Inactive,LFS,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/ABS_LABOUR_ACCT/M26.AUS.TOTAL.A?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,gdpn,https://api.economicsobservatory.com/aus/gdpn,https://api.data.abs.gov.au/data/ANA_AGG/M1.GPM.10.AUS.Q?detail=dataonly&format=csv,M1.GPM.10.AUS.Q,ANA_AGG,GDP,Volume measure,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/ANA_AGG/M1.GPM.10.AUS.Q?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,gdpp,https://api.economicsobservatory.com/aus/gdpp,https://api.data.abs.gov.au/data/ANA_AGG/M1.GPM_PCA.10.AUS.Q?detail=dataonly&format=csv,M1.GPM_PCA.10.AUS.Q,ANA_AGG,GDP per capita,,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/ANA_AGG/M1.GPM_PCA.10.AUS.Q?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,save,https://api.economicsobservatory.com/aus/save,https://api.data.abs.gov.au/data/ANA_AGG/M7.HSR.10.AUS.Q?detail=dataonly&format=csv,M7.HSR.10.AUS.Q,ANA_AGG,Saving rate,,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/ANA_AGG/M7.HSR.10.AUS.Q?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,prod,https://api.economicsobservatory.com/aus/prod,https://api.data.abs.gov.au/data/ANA_AGG/M5.GVA_MKT_PHW.10.AUS.Q?detail=dataonly&format=csv,M5.GVA_MKT_PHW.10.AUS.Q,ANA_AGG,Productivity,Output per hour - index,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/ANA_AGG/M5.GVA_MKT_PHW.10.AUS.Q?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,term,https://api.economicsobservatory.com/aus/term,https://api.data.abs.gov.au/data/ANA_AGG/M5.TTR.10.AUS.Q?detail=dataonly&format=csv,M5.TTR.10.AUS.Q,ANA_AGG,Terms of Trade,Index,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/ANA_AGG/M5.TTR.10.AUS.Q?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,hpca,https://api.economicsobservatory.com/aus/hpca,https://api.data.abs.gov.au/data/RPPI/3.3.1GSYD.Q?detail=dataonly&format=csv,3.3.1GSYD.Q,RPPI,House prices - Sydney,% change,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/RPPI/3.3.1GSYD.Q?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
aus,hpX,https://api.economicsobservatory.com/aus/hpX,https://api.data.abs.gov.au/data/RPPI/3.3.100.Q?detail=dataonly&format=csv,3.3.100.Q,RPPI,House prices,% change -eight capitals,https://api.data.abs.gov.au/data/${y}/${x}?detail=dataonly&format=csv,https://api.data.abs.gov.au/data/RPPI/3.3.100.Q?detail=dataonly&format=csv,ABS,Australian Bureau of Statistics,,,TIME_PERIOD,OBS_VALUE,1
